Point Number;X cooridnate;Y coordinate;Z coordinate
231;-792;-131;-120
232;662;561;679
233;434;629;-550
234;572;-191;739
235;-530;752;741
236;-503;-528;-346
237;-96;-554;159
238;-693;32;617
239;670;549;667
240;-23;156;691
241;-523;-162;-77
242;-569;72;-505
243;533;713;-701
244;120;-30;-529
245;-613;816;-380
246;771;763;-15
247;727;153;-304
248;-20;-582;221
249;561;95;-171
250;-685;3;-702
251;43;-511;-716
252;-584;801;-320
253;326;634;-493
254;-4;-502;-712
255;-851;-56;554
256;357;644;-647
257;-45;-676;222
258;567;684;-560
259;-493;821;-414
260;-401;-434;-336
261;409;726;-478
262;-376;-411;-299
263;-236;209;96
264;-123;-667;244
265;-728;-33;-552
266;422;670;-444
267;607;-245;745
268;633;-230;743
269;654;-146;758
270;694;391;-337
271;-479;55;-607
272;-151;256;70
273;-742;-39;-2
274;806;630;-4
275;-621;713;759
276;-199;299;63
277;-847;15;563
278;-583;-471;526
279;-9;-574;-686
280;32;-619;-673
281;-22;-653;241
282;-692;-15;466
283;320;-690;667
284;-533;707;643
285;-484;843;-395
286;-350;-402;-556
287;-11;130;640
288;827;182;-104
289;-828;513;98
290;676;-180;758
291;-525;-184;75
292;368;-703;743
293;-608;335;12
294;-55;-600;241
295;718;576;592
296;696;-220;695
297;642;647;-116
298;646;-207;801
299;-276;284;125
300;433;863;-621
301;-587;666;-287
302;-45;110;646
303;-630;558;-27
304;587;240;-428
305;669;-582;44
306;737;577;613
307;58;-579;-676
308;739;66;-111
309;-745;-99;550
310;690;604;589
311;720;-182;773
312;-33;-690;172
313;-836;-73;543
314;-697;269;162
315;86;-535;-811
316;-206;391;133
317;-692;26;141
318;-644;124;-596
319;-23;-592;-675
320;-502;381;98
321;-252;-452;-567
322;-679;-13;403
323;-56;-638;146
324;-727;436;188
325;483;353;-321
326;-532;741;677
327;-516;-80;-621
328;-12;155;688
329;143;-534;-778
330;367;-716;744
331;63;-485;-654
332;-634;782;-373
333;-64;-664;251
334;642;603;616
335;286;772;-687
336;-6;122;662
337;-808;-39;-131
338;338;635;-606
339;-679;592;110
340;-673;112;522
341;-672;58;-467
342;-186;302;219
343;-641;-150;3
344;-679;-158;-62
345;564;-430;-82
346;-9;-680;194
347;2;0;-566
348;472;-437;101
349;-277;-512;-403
350;117;-486;-726
351;-73;-564;246
352;-394;-404;-453
353;-147;-621;248
354;535;-462;-85
355;6;-567;-714
356;-39;-646;233
357;60;-604;-703
358;-829;-474;404
359;766;604;-100
360;30;-633;-709
361;-73;-713;227
362;-457;805;-380
363;-581;698;652
364;-226;377;151
365;-545;-513;466
366;-621;13;60
367;522;606;-620
368;-462;-465;-444
369;768;603;-13
370;-45;-680;179
371;-615;-46;438
372;665;749;-122
373;-637;-292;-13
374;-793;314;107
375;-341;-595;-312
376;108;-502;-757
377;-635;-386;497
378;-554;703;-442
379;-297;260;175
380;610;102;-425
381;-615;695;-380
382;-734;-220;-76
383;21;64;724
384;371;679;-621
385;-3;4;-525
386;654;-240;798
387;684;-133;718
388;-808;-603;481
389;359;567;-549
390;514;199;-401
391;-551;-105;-605
392;643;628;641
393;-639;20;-748
394;-616;461;-103
395;-651;-364;384
396;683;605;678
397;-279;-479;-539
398;461;594;-523
399;382;-634;706
400;-23;-626;271
401;692;241;-355
402;-821;35;515
403;-4;-635;174
404;-267;310;241
405;617;711;-158
406;611;735;-113
407;625;-208;680
408;656;-255;710
409;-574;711;723
410;19;92;-561
411;614;-131;776
412;-58;-661;182
413;266;-689;798
414;-689;-96;539
415;668;40;-342
416;-602;-417;457
417;-135;-646;169
418;-680;-24;539
419;627;-228;743
420;-550;750;-447
421;680;668;-83
422;-56;106;677
423;-452;782;-367
424;708;-160;717
425;675;314;-353
426;-422;-511;-392
427;-598;-168;-139
428;-17;118;705
429;-733;-92;592
430;49;15;-468
431;607;-188;673
432;-294;-561;-420
433;44;-525;-665
434;755;773;4
435;736;163;-79
436;542;694;-701
437;719;-218;736
438;327;-649;828
439;-437;813;-398
440;-223;318;220
441;512;758;-627
442;-664;-4;-39
443;-763;-547;573
444;-798;-173;81
445;-159;307;243
446;-669;-210;-96
447;-792;-122;35
448;-489;780;-391
449;-210;382;178
450;-743;12;-141
451;-759;-129;478
452;-522;858;-351
453;-572;99;-668
454;309;-586;749
455;706;553;659
456;-259;207;254
457;-837;-472;486
458;-597;-405;438
459;634;-549;-124
460;-776;462;157
461;399;-634;727
462;503;807;-515
463;503;139;-227
464;-10;-56;-552
465;-781;-51;565
466;-864;440;-11
467;-298;193;144
468;407;-625;712
469;-47;-604;210
470;-579;-234;-80
471;296;-651;770
472;715;-351;-90
473;656;775;-19
474;-602;681;-421
475;-759;-101;440
476;94;-495;-702
477;-291;-566;-397
478;496;152;-187
479;-220;270;83
480;-256;-547;-558
481;-25;-535;-800
482;-803;-559;549
483;687;774;-80
484;-678;583;-5
485;-619;-416;533
486;-154;355;190
487;388;-541;-141
488;559;385;-347
489;-762;45;487
490;635;-200;687
491;607;-416;85
492;-648;-41;421
493;336;731;-711
494;-586;-193;125
495;616;647;29
496;-47;-574;198
497;652;-476;86
498;-282;358;165
499;-545;-76;-438
500;-680;-74;408
501;453;634;-566
502;-636;450;-28
503;740;174;-369
504;333;-679;676
505;-284;374;217
506;-56;116;738
507;-821;13;461
508;-707;-149;200
509;659;578;678
510;-681;-401;411
511;-296;-572;-484
512;-638;-379;357
513;37;37;-605
514;-309;-545;-550
515;662;698;41
516;-258;-411;-529
517;-572;102;-700
518;-676;24;403
519;723;-188;701
520;-697;-132;492
521;664;568;608
522;420;681;-727
523;569;289;-327
524;732;608;693
525;344;-587;726
526;533;-564;29
527;-144;-588;227
528;632;725;-70
529;-552;728;743
530;350;-454;-33
531;636;-210;787
532;340;647;-500
533;-244;381;134
534;-613;-149;-536
535;-593;-562;408
536;612;-236;724
537;-110;-556;240
538;-850;-586;344
539;637;-136;747
540;681;-152;715
541;-757;33;529
542;664;625;638
543;-34;-549;-715
544;-135;-592;267
545;-117;-676;159
546;661;615;670
547;369;-581;737
548;72;105;-564
549;541;-572;7
550;-716;535;82
551;76;-493;-741
552;5;65;-594
553;-459;638;-321
554;683;606;-76
555;119;-605;-737
556;-619;-129;-620
557;523;205;-395
558;-595;608;745
559;-687;-620;425
560;109;-44;-487
561;-511;749;-453
562;306;-576;726
563;-708;-96;-586
564;823;750;-92
565;-755;10;442
566;-446;9;-503
567;-589;751;693
568;-504;397;8
569;-706;270;152
570;516;-624;80
571;-541;713;657
572;-24;-548;-753
573;477;706;-521
574;594;218;-217
575;-631;40;604
576;-651;-100;525
577;646;686;-6
578;-7;-683;209
579;-93;-611;123
580;-191;191;199
581;-272;-459;-584
582;488;-419;86
583;722;829;19
584;78;-561;-694
585;727;-183;725
586;12;66;693
587;157;-45;-586
588;332;-579;771
589;376;613;-531
590;-515;633;733
591;-757;-452;493
592;-252;-440;-322
593;616;704;-134
594;19;113;740
595;-12;-28;-496
596;-559;134;-670
597;712;302;-366
598;719;-506;8
599;-779;10;150
600;-776;-453;284
601;-110;-644;158
602;-609;-440;318
603;-22;111;690
604;-720;-600;460
605;685;842;-106
606;799;840;-50
607;-420;804;-330
608;-290;207;196
609;837;336;-218
610;-696;-425;331
611;744;593;621
612;685;625;702
613;-648;618;80
614;730;556;644
615;-498;116;-550
616;-468;-406;-520
617;-200;257;193
618;657;-134;727
619;-493;695;748
620;-628;98;-583
621;365;690;-567
622;-121;273;188
623;-641;760;-395
624;622;-225;681
625;-724;5;-69
626;145;21;-530
627;-495;663;758
628;31;-50;-642
629;440;605;-671
630;85;-564;-833
631;-644;13;502
632;-55;62;678
633;-48;-620;171
634;801;695;-91
635;-19;-494;-767
636;643;597;672
637;-532;-34;-620
638;-172;256;155
639;489;632;-536
640;179;-36;-563
641;726;-209;738
642;387;700;-682
643;-361;-349;-354
644;824;812;-61
645;748;759;-152
646;-35;129;753
647;-512;-378;-424
648;601;388;-286
649;-674;-92;600
650;-573;-189;-156
651;714;568;659
652;-134;297;90
653;-702;545;-38
654;694;610;15
655;-534;-447;-399
656;648;348;-95
657;403;-639;780
658;-745;50;-63
659;-52;66;729
660;0;-578;-741
661;-9;86;651
662;716;-145;752
663;-479;75;-502
664;663;556;634
665;79;-624;-793
666;-751;398;-40
667;23;141;675
668;-417;754;-368
669;489;-477;-242
670;-615;-92;-461
671;-111;-676;274
672;-530;625;783
673;649;-151;694
674;346;-472;-145
675;-23;-584;-769
676;-34;-656;262
677;340;-602;739
678;-102;-624;144
679;-55;114;677
680;-555;74;-424
681;-575;-615;454
682;505;-677;-14
683;357;553;-589
684;703;-227;736
685;-484;-530;-369
686;675;170;-444
687;-689;-141;-639
688;-53;141;678
689;-505;794;-434
690;-653;-247;55
691;-495;769;-286
692;-273;-354;-370
693;622;-513;-69
694;323;635;-602
695;-111;-649;191
696;-566;703;-411
697;-342;-474;-606
698;319;-693;756
699;30;-612;-781
700;-11;105;743
701;677;543;629
702;-706;-108;83
703;-467;-474;-435
704;-572;685;744
705;700;-249;752
706;-247;-557;-460
707;-535;-69;-614
708;487;573;-641
709;-679;-134;-164
710;-518;845;-311
711;-696;614;6
712;659;-205;809
713;-313;332;150
714;639;-156;785
715;-420;-439;-548
716;302;-628;789
717;-401;-599;-442
718;-530;750;772
719;-73;-645;239
720;-41;-595;-713
721;456;-419;36
722;773;753;-179
723;153;25;-620
724;-623;13;575
725;702;677;-122
726;747;717;-92
727;-496;734;717
728;2;-608;-822
729;677;603;701
730;-12;143;711
731;-577;-165;125
732;-739;-50;594
733;702;660;-198
734;29;79;675
735;357;764;-751
736;359;-700;766
737;-44;67;696
738;701;-600;-146
739;514;-502;-210
740;27;-52;-636
741;-7;158;682
742;-531;724;788
743;-87;-638;213
744;-675;-26;35
745;32;2;-450
746;-50;92;729
747;672;-197;710
748;59;-489;-648
749;678;570;656
750;-369;-522;-550
751;-548;348;97
752;-605;-565;286
753;654;-505;-117
754;-592;-157;-636
755;-716;-619;304
756;-553;711;-431
757;-556;179;-604
758;696;-180;764
759;771;597;-96
760;500;-329;-252
761;46;88;-537
762;-517;-74;-647
763;613;696;-197
764;171;8;-549
765;-273;333;222
766;-567;596;731
767;-264;263;64
768;-754;66;-627
769;-382;-612;-357
770;-26;-591;172
771;363;689;-723
772;-635;171;-456
773;43;-499;-784
774;-40;118;727
775;775;29;-243
776;-573;-527;326
777;-857;-6;519
778;-179;256;242
779;612;-218;723
780;-624;-188;172
781;567;-569;-312
782;-559;683;787
783;333;-680;786
784;-611;445;71
785;526;-498;26
786;-765;115;-624
787;545;-484;-155
788;-694;290;93
789;798;728;-185
790;446;-538;23
791;280;-661;714
792;99;6;-465
793;-747;-18;-109
794;734;566;642
795;-528;415;111
796;447;731;-526
797;-550;731;705
798;-808;-141;-23
799;435;-463;19
800;37;-449;-713
801;603;774;-122
802;131;-604;-667
803;-533;759;736
804;496;677;-488
805;113;-56;-645
806;669;592;592
807;-543;357;85
808;-808;-156;106
809;-639;0;541
810;-603;378;69
811;-755;5;-536
812;299;-678;676
813;-724;447;-13
814;-23;86;656
815;384;-688;723
816;291;-685;732
817;131;-617;-732
818;724;-177;751
819;-12;64;746
820;-123;-554;230
821;543;357;-293
822;-752;-481;465
823;743;805;34
824;-690;18;506
825;-545;630;-271
826;717;635;684
827;-257;-574;-447
828;597;-179;708
829;382;620;-591
830;123;20;-631
831;-590;709;-249
832;-819;-13;463
833;-37;133;664
834;633;-154;792
835;602;127;-397
836;-632;711;-427
837;21;-80;-552
838;652;614;640
839;-323;-456;-268
840;-16;102;682
841;-302;-567;-317
842;-34;-529;-772
843;-76;-682;219
844;-689;442;-61
845;711;607;620
846;-587;636;748
847;545;-586;-106
848;-33;-653;178
849;-467;-466;-478
850;-525;717;-404
851;101;-638;-742
852;-698;-14;-460
853;-618;-130;-74
854;-676;12;-486
855;695;540;673
856;-662;-7;-77
857;-633;-44;-66
858;-771;330;-26
859;-598;-499;444
860;293;-727;777
861;548;-412;30
862;-627;34;70
863;-712;356;-111
864;309;-725;744
865;24;-455;-698
866;-774;-10;471
867;-24;43;-528
868;629;36;-299
869;-132;223;185
870;-149;291;186
871;-814;34;520
872;329;841;-551
873;-475;-555;-369
874;-85;-604;232
875;-276;282;187
876;805;136;-252
877;-348;-437;-259
878;85;-645;-754
879;-530;-39;-443
880;-708;-85;620
881;709;-223;731
882;-294;-323;-357
883;56;-617;-669
884;-703;86;-681
885;25;1;-558
886;-228;231;263
887;731;581;633
888;513;-523;-164
889;691;-250;761
890;-803;-130;-141
891;-714;-113;206
892;-831;-661;417
893;-164;200;133
894;561;318;-55
895;-34;139;716
896;-18;99;759
897;-230;322;153
898;-6;14;-622
899;6;-504;-648
900;729;676;-110
901;-746;429;127
902;-529;-35;25
903;408;707;-737
904;690;-131;712
905;-755;69;471
906;655;637;32
907;-547;617;757
908;-465;-418;-369
909;-643;-299;-15
910;-781;-192;151
911;-68;-594;152
912;-407;-597;-405
913;-672;-380;516
914;445;635;-469
915;5;94;751
916;73;-73;-566
917;-538;677;726
918;743;569;632
919;824;705;-47
920;131;-625;-744
921;726;564;628
922;-129;-651;178
923;12;80;656
924;678;796;-94
925;653;-218;806
926;-330;-436;-473
927;-642;781;-379
928;-764;-481;285
929;643;618;664
930;717;802;-32
931;-210;231;186
932;-691;-531;617
933;-724;-609;603
934;-596;265;42
935;687;-170;726
936;-54;82;703
937;616;-182;791
938;-93;-688;249
939;-252;-366;-306
940;700;230;-246
941;494;721;-668
942;815;252;-93
943;-480;690;-300
944;-668;-500;424
945;-31;162;692
946;702;564;612
947;-614;664;712
948;645;576;671
949;379;763;-649
950;624;-337;33
951;-736;-535;486
952;738;577;674
953;612;-132;713
954;-573;-470;438
955;-544;757;765
956;-534;25;-659
957;-4;129;715
958;-53;-596;260
959;-60;62;683
960;369;661;-663
961;-244;381;212
962;-694;80;493
963;480;379;-248
964;-3;-499;-803
965;-719;12;440
966;-460;636;-301
967;824;112;-261
968;596;-202;752
969;-697;-481;258
970;-656;348;154
971;794;748;-92
972;562;273;-354
973;22;87;723
974;626;707;-16
975;32;77;-509
976;639;-548;-176
977;468;-612;-104
978;673;-163;729
979;-724;-686;425
980;384;-684;777
981;274;-685;791
982;-734;23;440
983;-440;-427;-459
984;805;315;-223
985;-520;742;715
986;659;-170;745
987;388;822;-546
988;567;353;-207
989;-698;-6;646
990;-610;-161;80
991;528;-349;-98
992;-386;-333;-453
993;-261;296;134
994;-503;760;-224
995;-257;-385;-361
996;299;-708;690
997;368;-672;690
998;-654;19;-469
999;-672;-566;382
1000;-720;-369;368
1001;362;-593;771
1002;-12;-590;202
1003;-50;69;663
1004;539;-587;93
1005;-623;633;720
1006;344;-674;807
1007;59;-22;-630
1008;627;-225;722
1009;-588;705;718
1010;-166;-469;-404
1011;91;-92;-551
1012;680;-124;700
1013;-181;283;127
1014;-660;-4;471
1015;-165;345;264
1016;672;669;-72
1017;31;-631;-654
1018;-661;18;434
1019;-458;-455;-345
1020;95;-661;-749
1021;-660;558;-9
1022;-690;-498;553
1023;133;42;-607
1024;-605;735;-361
1025;-679;-524;465
1026;-657;-497;453
1027;605;-205;751
1028;-574;667;-254
1029;-531;68;-628
1030;651;-143;797
1031;-53;-657;150
1032;726;-496;-98
1033;67;-526;-803
1034;-261;326;135
1035;-879;-106;52
1036;100;-37;-572
1037;481;-549;-141
1038;-493;766;-314
1039;-532;-534;470
1040;634;-473;-236
1041;646;-139;765
1042;-245;-398;-547
1043;-644;-81;434
1044;-51;-620;172
1045;-215;236;221
1046;96;2;-571
1047;-561;730;766
1048;332;-710;671
1049;-16;97;699
1050;-548;696;-452
1051;-505;-420;-400
1052;-123;-608;281
1053;307;765;-559
1054;132;46;-530
1055;99;-610;-651
1056;-535;506;109
1057;16;71;730
1058;743;616;643
1059;638;-612;-38
1060;-21;116;742
1061;-5;123;741
1062;721;566;673
1063;417;800;-681
1064;634;-231;710
1065;724;595;635
1066;483;727;-661
1067;777;662;-139
1068;8;12;-622
1069;-543;706;719
1070;-764;568;16
1071;-551;403;125
1072;-241;250;231
1073;157;-582;-716
1074;-290;-434;-545
1075;-77;-577;189
1076;-775;-65;-92
1077;714;315;-319
1078;32;-65;-610
1079;585;-477;-177
1080;-587;-51;-24
1081;80;0;-531
1082;-545;344;-55
1083;497;-650;-165
1084;6;78;722
1085;612;-189;770
1086;-30;155;678
1087;640;-115;749
1088;471;719;-583
1089;-761;-676;463
1090;688;609;691
1091;-688;-247;150
1092;719;563;700
1093;-279;342;195
1094;75;110;-557
1095;-641;710;-399
1096;272;-607;728
1097;-658;498;179
1098;-313;300;140
1099;37;-90;-598
1100;-267;232;177
1101;448;830;-598
1102;669;644;689
1103;671;573;622
1104;784;677;-81
1105;80;-524;-750
1106;-603;675;-328
1107;649;603;601
1108;-596;689;759
1109;406;653;-621
1110;443;614;-558
1111;435;-421;-45
1112;699;315;-218
1113;531;-607;-135
1114;-612;-70;506
1115;631;571;657
1116;389;-708;791
1117;-715;-363;409
1118;-78;-652;170
1119;-556;717;696
1120;596;-471;-24
1121;619;116;-147
1122;696;532;650
1123;295;-682;805
1124;-665;-92;-585
1125;-679;-297;9
1126;739;252;-402
1127;-612;-523;363
1128;-613;729;-363
1129;720;91;-64
1130;-515;714;634
1131;-500;715;682
1132;677;-124;695
1133;634;-264;755
1134;-103;-688;246
1135;649;13;-167
1136;612;-180;806
1137;-18;149;698
1138;-624;26;445
1139;379;826;-709
1140;-464;725;-246
1141;-765;-459;300
1142;-800;0;415
1143;-655;-20;101
1144;-117;352;219
1145;-211;-489;-514
1146;84;-26;-603
1147;-209;315;215
1148;682;650;637
1149;695;595;618
1150;689;587;666
1151;-13;65;689
1152;-553;-98;167
1153;-799;-673;504
1154;-770;-615;515
1155;727;610;665
1156;-63;89;694
1157;515;669;-617
1158;507;188;-374
1159;-428;-410;-424
1160;-615;391;-62
1161;-36;-674;192
1162;-529;682;791
1163;422;578;-595
1164;-557;693;-346
1165;-63;-647;284
1166;686;561;654
1167;-20;-533;-737
1168;598;663;-52
1169;-43;-673;164
1170;756;590;635
1171;-761;-6;114
1172;-796;-226;119
1173;666;-235;703
1174;-635;512;58
1175;-548;771;-382
1176;-728;133;-636
1177;-639;-481;342
1178;520;-485;-320
1179;-29;-555;-722
1180;726;580;656
1181;686;633;657
1182;-78;110;712
1183;-752;-618;341
1184;78;53;-581
1185;650;-211;720
1186;-569;149;-564
1187;-600;-143;11
1188;300;-636;746
1189;697;221;-426
1190;284;-613;734
1191;279;-670;748
1192;729;696;-26
1193;-663;-67;638
1194;-44;160;684
1195;-672;-185;-81
1196;-849;-480;502
1197;696;-182;780
1198;-530;738;666
1199;-160;281;216
1200;-59;-642;137
1201;330;603;-507
1202;-800;282;101
1203;-431;717;-369
1204;563;-398;-124
1205;636;-177;766
1206;-18;0;-611
1207;-56;71;696
1208;-801;48;508
1209;681;563;695
1210;22;-532;-638
1211;625;-318;-19
1212;-721;-65;465
1213;-654;25;-514
1214;-508;718;717
1215;90;56;-511
1216;-557;-631;428
1217;518;-598;-308
1218;-238;242;132
1219;693;556;627
1220;-494;-59;-528
1221;-560;-194;6
1222;695;548;615
1223;659;-332;-120
1224;71;-34;-595
1225;344;-662;705
1226;451;-487;-97
1227;-262;-450;-441
1228;-54;-603;279
1229;315;-562;734
1230;117;74;-592
1231;801;321;-315
1232;364;-616;802
1233;647;596;626
1234;-742;-594;447
1235;563;750;-36
1236;-25;144;667
1237;372;659;-501
1238;-512;103;-681
1239;-427;-421;-591
1240;-627;-70;-195
1241;-785;389;39
1242;-14;91;684
1243;-478;712;742
1244;30;93;724
1245;-597;-72;-27
1246;-426;-421;-439
1247;-11;59;724
1248;-759;-476;270
1249;-354;-350;-381
1250;371;-640;825
1251;-808;-7;522
1252;-28;-546;-692
1253;-335;-461;-607
1254;-50;67;729
1255;573;157;-267
1256;-770;-91;438
1257;-65;69;719
1258;-765;-90;200
1259;658;-361;-168
1260;685;-211;762
1261;257;-684;779
1262;-844;-187;96
1263;587;-174;787
1264;-715;-244;125
1265;753;610;-105
1266;-528;644;685
1267;126;-96;-569
1268;131;-50;-491
1269;-770;-4;40
1270;742;210;-240
1271;-568;826;-261
1272;-762;368;-76
1273;-600;396;125
1274;-618;321;-58
1275;-648;72;-627
1276;-713;-77;475
1277;24;91;714
1278;499;-520;-22
1279;-19;103;638
1280;-708;61;492
1281;357;-705;742
1282;72;-490;-676
1283;612;663;-29
1284;80;-473;-678
1285;659;631;651
1286;-712;116;-26
1287;-37;122;673
1288;330;841;-547
1289;-576;-214;133
1290;721;572;695
1291;688;-214;769
1292;-32;71;656
1293;-606;-659;432
1294;-40;-573;-764
1295;38;97;709
1296;391;-674;719
1297;-528;701;658
1298;85;-583;-809
1299;799;690;-79
1300;-75;-618;227
1301;-91;-624;244
1302;-869;-499;508
1303;669;-228;696
1304;-168;365;82
1305;-588;72;-474
1306;-576;826;-312
1307;597;678;-145
1308;-767;-606;576
1309;-514;675;705
1310;363;739;-747
1311;751;246;-187
1312;-827;26;543
1313;-86;-562;230
1314;-682;-427;401
1315;-565;726;711
1316;-611;-118;6
1317;797;632;-32
1318;164;-63;-531
1319;-41;59;713
1320;566;-654;-225
1321;664;588;606
1322;416;-662;759
1323;-109;-662;185
1324;-420;802;-314
1325;706;-171;702
1326;-591;100;-484
1327;-418;-464;-256
1328;575;-398;92
1329;486;574;-658
1330;678;630;597
1331;-302;-495;-582
1332;346;-681;812
1333;537;143;-104
1334;-600;-79;523
1335;-807;-466;336
1336;145;-18;-567
1337;-611;-225;47
1338;608;235;-283
1339;-702;-12;472
1340;-613;725;660
1341;360;830;-616
1342;1;95;714
1343;263;-673;743
1344;-725;-551;477
1345;728;849;-35
1346;413;-463;59
1347;444;-564;-100
1348;-634;148;-624
1349;-224;374;224
1350;-631;-42;624
1351;-16;-520;-742
1352;-622;146;-624
1353;-486;741;-464
1354;-535;766;703
1355;518;71;-169
1356;-458;791;-255
1357;410;656;-548
1358;-277;295;220
1359;-470;722;728
1360;481;777;-509
1361;757;375;-226
1362;635;653;-115
1363;677;-180;778
1364;714;-216;751
1365;14;-571;-686
1366;-231;229;275
1367;-384;-451;-288
1368;-43;103;668
1369;-736;-2;125
1370;-733;8;-450
1371;90;-604;-668
1372;57;-517;-813
1373;-630;-518;403
1374;483;658;-654
1375;52;-661;-743
1376;-573;-186;-73
1377;569;403;-229
1378;-26;152;665
1379;-462;-456;-374
1380;435;735;-463
1381;-508;743;768
1382;-616;647;743
1383;81;-570;-666
1384;-181;-457;-436
1385;495;708;-568
1386;-508;-135;-588
1387;-498;-10;25
1388;-520;650;694
1389;757;645;22
1390;-338;-626;-394
1391;-331;-425;-499
1392;-75;-659;255
1393;-540;-153;-609
1394;-794;-149;146
1395;71;-575;-660
1396;-622;-18;-571
1397;471;670;-584
1398;-422;689;-332
1399;782;66;-141
1400;-480;-103;-549
1401;-820;-61;45
1402;-17;117;699
1403;665;-173;736
1404;-55;-672;207
1405;636;146;-267
1406;-312;-582;-388
1407;62;-590;-665
1408;-333;-341;-406
1409;4;67;698
1410;464;262;-243
1411;-61;-690;233
1412;143;39;-520
1413;11;80;-560
1414;-532;-223;-35
1415;654;588;619
1416;781;150;-382
1417;594;707;-96
1418;568;-180;729
1419;-74;108;681
1420;-596;759;-337
1421;423;-403;-203
1422;-77;-592;187
